model,probability_source,n,events,auc_apparent,auc_ci_low,auc_ci_high,calibration_intercept,calibration_slope,mean_predicted_risk,observed_risk
7-rad,full-cohort elastic-net refit,195,36,0.8254716981132075,0.7479037551825014,0.8954881450625813,0.15323189698942052,1.1397538084976644,0.18461712912774597,0.18461538461538463
7-rad + MPD/thickness,full-cohort elastic-net refit,195,36,0.8270440251572327,0.7534918368817357,0.8936095317253597,0.042124561835315995,1.0392920700483437,0.18461970417393264,0.18461538461538463
7-rad + DISPAIR-FRS 2025 covariates,full-cohort elastic-net refit under an all-neck assumption,195,36,0.8473095737246681,0.7803971491984332,0.9066354257889407,0.11546812456715598,1.1118206833254576,0.18463964947470796,0.18461538461538463
Preoperative DP-FRS (published),"published equation, no refit",195,36,0.5060272536687631,0.39358716510620084,0.6164518433747386,-1.4547391056649064,0.03104531945189334,0.2899320978678546,0.18461538461538463
DISPAIR-FRS 2025 (published; all-neck),"BJS 2025 research equation, all-neck sensitivity, no refit",195,36,0.4750174703004891,0.37317480372819745,0.5798478614087665,-1.5277267198392013,-0.07210847508861505,0.3740009496104975,0.18461538461538463
