model,term,coefficient_standardized,predictor_mean,predictor_sd
7-rad,Intercept,-2.006194595728612,,
7-rad,log-sigma-3-0-mm-3D_glcm_ClusterProminence,-1.2176972910110937,1544.9054196896254,1327.3996161557598
7-rad,log-sigma-3-0-mm-3D_glcm_ClusterShade,0.975550505756177,-14.224739389051281,18.94929597366704
7-rad,log-sigma-3-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.42575167747653386,14.884706670066663,12.092359009957097
7-rad,log-sigma-7-0-mm-3D_ngtdm_Strength,-0.07870826732628426,0.6991990714102565,0.5855652798427725
7-rad,original_shape_MinorAxisLength,0.2810188548049358,34.651585436000005,4.82012693667919
7-rad,wavelet-HLH_firstorder_Median,-0.8296048483626397,1.545418653928205,1.417808247950862
7-rad,wavelet-HLH_gldm_LargeDependenceLowGrayLevelEmphasis,2.034742279160605,0.1234459891025641,0.19303743594977227
7-rad + MPD/thickness,Intercept,-2.087996702656525,,
7-rad + MPD/thickness,log-sigma-3-0-mm-3D_glcm_ClusterProminence,-1.6781405918356544,1544.9054196896254,1327.3996161557598
7-rad + MPD/thickness,log-sigma-3-0-mm-3D_glcm_ClusterShade,1.0448610389990445,-14.224739389051281,18.94929597366704
7-rad + MPD/thickness,log-sigma-3-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.7959724869602396,14.884706670066663,12.092359009957097
7-rad + MPD/thickness,log-sigma-7-0-mm-3D_ngtdm_Strength,-0.14356839376364197,0.6991990714102565,0.5855652798427725
7-rad + MPD/thickness,original_shape_MinorAxisLength,0.31215926862278287,34.651585436000005,4.82012693667919
7-rad + MPD/thickness,wavelet-HLH_firstorder_Median,-0.8696239421634202,1.545418653928205,1.417808247950862
7-rad + MPD/thickness,wavelet-HLH_gldm_LargeDependenceLowGrayLevelEmphasis,2.3701747018702948,0.1234459891025641,0.19303743594977227
7-rad + MPD/thickness,mpd_diameter,0.11372273132121755,1.7692307692307692,2.043896962397911
7-rad + MPD/thickness,neck_thickness,-0.19600294125799894,19.251275148799998,5.985742507851019
7-rad + DISPAIR-FRS 2025 covariates,Intercept,-2.336918850925995,,
7-rad + DISPAIR-FRS 2025 covariates,log-sigma-3-0-mm-3D_glcm_ClusterProminence,-2.115611729535135,1544.9054196896254,1327.3996161557598
7-rad + DISPAIR-FRS 2025 covariates,log-sigma-3-0-mm-3D_glcm_ClusterShade,1.081173539573849,-14.224739389051281,18.94929597366704
7-rad + DISPAIR-FRS 2025 covariates,log-sigma-3-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,1.111007683036535,14.884706670066663,12.092359009957097
7-rad + DISPAIR-FRS 2025 covariates,log-sigma-7-0-mm-3D_ngtdm_Strength,-0.06436270035526956,0.6991990714102565,0.5855652798427725
7-rad + DISPAIR-FRS 2025 covariates,original_shape_MinorAxisLength,0.18879593577460796,34.651585436000005,4.82012693667919
7-rad + DISPAIR-FRS 2025 covariates,wavelet-HLH_firstorder_Median,-0.9279376377509628,1.545418653928205,1.417808247950862
7-rad + DISPAIR-FRS 2025 covariates,wavelet-HLH_gldm_LargeDependenceLowGrayLevelEmphasis,2.4112845283188347,0.1234459891025641,0.19303743594977227
7-rad + DISPAIR-FRS 2025 covariates,neck_thickness,-0.3156020767634155,19.251275148799998,5.985742507851019
7-rad + DISPAIR-FRS 2025 covariates,mpd_diameter,0.1091766902884902,1.7692307692307692,2.043896962397911
7-rad + DISPAIR-FRS 2025 covariates,age,0.3158152731483682,58.90020533880903,14.723815752086947
7-rad + DISPAIR-FRS 2025 covariates,age_spline_41,-1.4667131275065566,15784.10183019711,19164.87342968186
7-rad + DISPAIR-FRS 2025 covariates,age_spline_65,2.4363180521520427,456.46429622759115,1431.0311231254393
7-rad + DISPAIR-FRS 2025 covariates,age_spline_77,-3.729377239479128,14.415384615384616,129.70181490231602
7-rad + DISPAIR-FRS 2025 covariates,male_indicator,0.3379054205284008,0.47692307692307695,0.49946717171532085
DP-FRS covariates refit,Intercept,-1.4266652751683508,,
DP-FRS covariates refit,mpd_diameter,0.0,1.7692307692307692,2.043896962397911
DP-FRS covariates refit,neck_thickness,0.0,19.251275148799998,5.985742507851019
DISPAIR-FRS 2025 covariates refit,Intercept,-1.7035569292312356,,
DISPAIR-FRS 2025 covariates refit,neck_thickness,-0.28787289873548494,19.251275148799998,5.985742507851019
DISPAIR-FRS 2025 covariates refit,mpd_diameter,0.18632937674283725,1.7692307692307692,2.043896962397911
DISPAIR-FRS 2025 covariates refit,age,-0.11210940213460707,58.90020533880903,14.723815752086947
DISPAIR-FRS 2025 covariates refit,age_spline_41,-0.37328651743165814,15784.10183019711,19164.87342968186
DISPAIR-FRS 2025 covariates refit,age_spline_65,0.5861997811995396,456.46429622759115,1431.0311231254393
DISPAIR-FRS 2025 covariates refit,age_spline_77,-2.0267483093071883,14.415384615384616,129.70181490231602
DISPAIR-FRS 2025 covariates refit,male_indicator,0.4126222706369422,0.47692307692307695,0.49946717171532085
