iteration,strategy,constraint,selected_threshold,in_bag_sensitivity,in_bag_specificity,in_bag_mcc,n_oob,events_oob,oob_threshold,oob_tp,oob_fp,oob_tn,oob_fn,oob_sensitivity_rule_out,oob_specificity_rule_in,oob_positive_predictive_value,oob_negative_predictive_value,oob_balanced_accuracy,oob_f1_score,oob_mcc
5,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.11642349439991909,0.9444444444444444,0.44025157232704404,0.3092777649257437,76,15,0.11642349439991909,15,34,27,0,1.0,0.4426229508196721,0.30612244897959184,1.0,0.7213114754098361,0.46875,0.3680989292017724
5,Rule-in,in-bag specificity >=90%; maximize MCC,0.327527797720214,0.4166666666666667,0.9811320754716981,0.5332002352309123,76,15,0.327527797720214,7,5,56,8,0.4666666666666667,0.9180327868852459,0.5833333333333334,0.875,0.6923497267759563,0.5185185185185185,0.41990544516350337
6,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.10045319973963353,1.0,0.559748427672956,0.4360083021996733,70,13,0.10045319973963353,11,29,28,2,0.8461538461538461,0.49122807017543857,0.275,0.9333333333333333,0.6686909581646423,0.41509433962264153,0.2651186512399074
6,Rule-in,in-bag specificity >=90%; maximize MCC,0.4714631454344897,0.3888888888888889,0.9811320754716981,0.5089108162940585,70,13,0.4714631454344897,6,5,52,7,0.46153846153846156,0.9122807017543859,0.5454545454545454,0.8813559322033898,0.6869095816464237,0.5,0.39943702337503717
7,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.29705535066323857,0.9166666666666666,0.8427672955974843,0.6445632601776072,77,16,0.29705535066323857,7,11,50,9,0.4375,0.819672131147541,0.3888888888888889,0.847457627118644,0.6285860655737705,0.4117647058823529,0.2465395246425077
7,Rule-in,in-bag specificity >=90%; maximize MCC,0.4398713017031715,0.4444444444444444,0.9811320754716981,0.5567937312196639,77,16,0.4398713017031715,3,2,59,13,0.1875,0.9672131147540983,0.6,0.8194444444444444,0.5773565573770492,0.2857142857142857,0.2547421372021173
8,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.14119483529194904,0.9722222222222222,0.5345911949685535,0.39603670783998757,60,12,0.14119483529194904,9,20,28,3,0.75,0.5833333333333334,0.3103448275862069,0.9032258064516129,0.6666666666666667,0.43902439024390244,0.266814938386028
8,Rule-in,in-bag specificity >=90%; maximize MCC,0.4297155879671164,0.2777777777777778,0.9811320754716981,0.4027087082293325,60,12,0.4297155879671164,1,1,47,11,0.08333333333333333,0.9791666666666666,0.5,0.8103448275862069,0.53125,0.14285714285714285,0.13927150363278892
9,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.1488924915548315,0.9166666666666666,0.5911949685534591,0.39409081616412334,71,13,0.1488924915548315,10,20,38,3,0.7692307692307693,0.6551724137931034,0.3333333333333333,0.926829268292683,0.7122015915119364,0.46511627906976744,0.3322857749495952
9,Rule-in,in-bag specificity >=90%; maximize MCC,0.3723425110880794,0.3888888888888889,0.9371069182389937,0.3849977140069816,71,13,0.3723425110880794,4,3,55,9,0.3076923076923077,0.9482758620689655,0.5714285714285714,0.859375,0.6279840848806366,0.4,0.3320722838557765
10,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.14558853896152177,0.9166666666666666,0.610062893081761,0.40886101391439394,71,8,0.14558853896152177,6,24,39,2,0.75,0.6190476190476191,0.2,0.9512195121951219,0.6845238095238095,0.3157894736842105,0.23623547771059317
10,Rule-in,in-bag specificity >=90%; maximize MCC,0.41069245750228145,0.4722222222222222,0.9559748427672956,0.5056963542503279,71,8,0.41069245750228145,1,5,58,7,0.125,0.9206349206349206,0.16666666666666666,0.8923076923076924,0.5228174603174602,0.14285714285714285,0.05187764635457349
11,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.12799755195878013,0.9722222222222222,0.4779874213836478,0.3573372079818563,69,9,0.12799755195878013,9,30,30,0,1.0,0.5,0.23076923076923078,1.0,0.75,0.375,0.3396831102433787
11,Rule-in,in-bag specificity >=90%; maximize MCC,0.32238503002451985,0.5277777777777778,0.9559748427672956,0.55213225244469,69,9,0.32238503002451985,6,8,52,3,0.6666666666666666,0.8666666666666667,0.42857142857142855,0.9454545454545454,0.7666666666666666,0.5217391304347826,0.44663242099126604
12,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.0752680442764511,0.9722222222222222,0.44025157232704404,0.3325876799417338,68,11,0.0752680442764511,11,36,21,0,1.0,0.3684210526315789,0.23404255319148937,1.0,0.6842105263157895,0.3793103448275862,0.29364298698826574
12,Rule-in,in-bag specificity >=90%; maximize MCC,0.3908270066179516,0.5277777777777778,0.9559748427672956,0.55213225244469,68,11,0.3908270066179516,7,8,49,4,0.6363636363636364,0.8596491228070176,0.4666666666666667,0.9245283018867925,0.7480063795853269,0.5384615384615384,0.4404971007008769
