strategy,constraint,threshold,tp,fp,tn,fn,sensitivity_rule_out,specificity_rule_in,positive_predictive_value,negative_predictive_value,balanced_accuracy,f1_score,mcc
Rule-out,full-cohort sensitivity >=90%; maximize MCC,0.10166248347471143,33,76,83,3,0.9166666666666666,0.5220125786163522,0.30275229357798167,0.9651162790697675,0.7193396226415094,0.45517241379310347,0.34279495807866556
Rule-in,full-cohort specificity >=90%; maximize MCC,0.36836407433750906,18,8,151,18,0.5,0.949685534591195,0.6923076923076923,0.893491124260355,0.7248427672955975,0.5806451612903226,0.5132496994556273
