auc_in_bag,auc_oob,relative_overfit,weight_632plus,auc_632plus,iteration,n_in_bag,unique_in_bag,n_oob,events_oob
0.8590146750524109,0.6741258741258741,0.5149895360114339,0.7797811139813405,0.7148418799032417,0,195,127,68,13
0.8556953179594688,0.7017543859649122,0.4327887498707476,0.751724321143867,0.7399741753596065,1,195,124,71,14
0.7975192173305381,0.8809523809523809,0.0,0.632,0.8502489767395427,2,195,121,74,14
0.8057302585604472,0.7799043062200957,0.08447300068352707,0.6522767159002576,0.7888845911828861,3,195,127,68,11
0.9005939902166318,0.6532156368221942,0.6175288682205672,0.8178589581873669,0.6982733878313507,4,195,121,74,13
0.7707896575821105,0.839344262295082,0.0,0.632,0.8141161677607085,5,195,119,76,15
0.8418937805730258,0.766531713900135,0.22042538049853197,0.6877912461457686,0.7900604108239577,6,195,125,70,13
0.9079315164220825,0.7387295081967213,0.41478042615930066,0.7458452144979467,0.7817330083037547,7,195,118,77,16
0.7863382250174704,0.7378472222222222,0.16934868822452753,0.6740041526309866,0.7536550877682324,8,195,135,60,12
0.8073025856044724,0.8289124668435013,0.0,0.632,0.8209600305475386,9,195,124,71,13
0.8349056603773585,0.7896825396825398,0.13503241672255728,0.6650474930411919,0.80483013733177,10,195,124,71,8
0.7950733752620545,0.8092592592592591,0.0,0.632,0.8040388539482878,11,195,126,69,9
0.7973445143256463,0.8708133971291866,0.0,0.632,0.8437768482574838,12,195,127,68,11
0.8387491264849756,0.7150997150997151,0.365017653826318,0.7300673955292307,0.7484767227562161,13,195,128,67,13
0.8249475890985325,0.6915113871635611,0.4106391504708475,0.744506210370885,0.7256035080696428,14,195,112,83,14
0.7866876310272537,0.8461538461538461,0.0,0.632,0.8242702789872601,15,195,120,75,13
0.8644304682040531,0.79375,0.19394774688398864,0.6805744869022843,0.8163271448220664,16,195,129,66,16
0.8186582809224319,0.7974481658692185,0.06656069000251821,0.6478691226266756,0.8049169022920957,17,195,127,68,11
0.80083857442348,0.823607427055703,0.0,0.632,0.8152284892870449,18,195,124,71,13
0.8710691823899371,0.6964285714285714,0.4706416464891042,0.7643892582071632,0.737575775324333,19,195,127,68,12
0.9189378057302586,0.6694711538461539,0.5954741932379547,0.8093583370226665,0.7170298912187272,20,195,127,68,16
0.8135918937805731,0.8323615160349854,0.0,0.632,0.8254542950453616,21,195,132,63,14
0.9161425576519917,0.7131147540983606,0.48788041458479614,0.7702995810576032,0.7597503256315843,22,195,122,73,12
0.8974493361285815,0.6927083333333333,0.5151373626373629,0.7798334569054964,0.7377854521484651,23,195,119,76,16
0.7531446540880503,0.8905529953917051,0.0,0.632,0.8399867257919601,24,195,119,76,14
0.8156883298392732,0.7833333333333333,0.10249031543995564,0.6567710638501479,0.7944385043631992,25,195,124,71,15
0.8356044723969254,0.8114406779661016,0.07200081172412022,0.6492014351516446,0.8199173023737253,26,195,120,75,16
0.7985674353598882,0.8303030303030303,0.0,0.632,0.8186243313639541,27,195,125,70,15
0.8677498252969951,0.7379400260756193,0.35298398610126136,0.7263517123696931,0.7734622553501826,28,195,123,72,13
0.8425925925925926,0.7012987012987013,0.4124254124254123,0.7450831747082677,0.7373168915004552,29,195,121,74,11
0.7989168413696716,0.7721674876847291,0.08948760987294604,0.6535214010919085,0.7814355662711849,30,195,123,72,14
0.7858141160027953,0.6939655172413792,0.32135781131439206,0.7167643145812493,0.7199803180663207,31,195,125,70,12
0.786512928022362,0.8911242603550296,0.0,0.632,0.8526272900566079,32,195,117,78,13
0.8238993710691824,0.8007518796992481,0.0714650704430982,0.6490699862835497,0.8088750291632005,33,195,124,71,14
0.9046121593291404,0.71875,0.45935880829015535,0.7605697913321632,0.7632510155916308,34,195,125,70,16
0.829140461215933,0.7716450216450216,0.17468359665811933,0.6754182948964434,0.7903069894566265,35,195,115,80,14
0.7641509433962265,0.7615384615384615,0.009890109890110242,0.6343086045034235,0.7624938236747371,36,195,122,73,13
0.8359538784067087,0.8228021978021978,0.03914728017692163,0.6412377994120508,0.827520523677302,37,195,126,69,13
0.8480083857442349,0.7195340501792115,0.3691702293043142,0.7313584409065929,0.7540475959888889,38,195,115,80,18
0.8153389238294899,0.8225,0.0,0.632,0.8198647239692523,39,195,129,66,16
0.8752620545073375,0.6804511278195489,0.5191330281009787,0.7812509216523821,0.723065838484548,40,195,124,71,14
0.8427672955974843,0.8322368421052632,0.030721873491067198,0.639226874963982,0.8360359467196983,41,195,122,73,16
0.7283368273934312,0.9291819291819292,0.0,0.632,0.8552709317237619,42,195,119,76,13
0.8310621942697414,0.7752639517345399,0.16854308193746353,0.6737911222990537,0.7934658338096332,43,195,131,64,13
0.796470999301188,0.8428571428571429,0.0,0.632,0.8257870420285515,44,195,126,69,14
0.7891334730957372,0.7885714285714286,0.0019438929650408652,0.6324524264947117,0.7887780066725402,45,195,131,64,14
0.857267645003494,0.775735294117647,0.22821084423989646,0.689942465751704,0.8010150137947796,46,195,114,81,17
0.8581411600279525,0.7731092436974789,0.23742570198811255,0.6925060987594788,0.7992560393798938,47,195,130,65,14
0.8032844164919637,0.7794871794871795,0.07846508330379305,0.6507917086323005,0.7877973719608924,48,195,128,67,15
0.8551712089447938,0.7445520581113801,0.31145303461409735,0.7138135362624637,0.776209761710044,49,195,122,73,14
0.8572676450034942,0.7442528735632183,0.3163308321389431,0.715263661297082,0.7764322858024696,50,195,125,70,12
0.8476589797344515,0.7793190416141236,0.19657176170892304,0.681282922199971,0.8011001469888693,51,195,121,74,13
0.8029350104821803,0.8470982142857143,0.0,0.632,0.8308461552860138,52,195,123,72,16
0.8041579315164221,0.8456632653061225,0.0,0.632,0.8303893024715128,53,195,125,70,14
0.8308874912648498,0.8377723970944311,0.0,0.632,0.8352387517491452,54,195,122,73,14
0.8483577917540182,0.662004662004662,0.5349474998421838,0.7869120390647778,0.7017142704368492,55,195,116,79,13
0.7816212438853949,0.8360215053763441,0.0,0.632,0.8160022091476749,56,195,121,74,12
0.8413696715583507,0.7612704918032788,0.23464058593553327,0.6917292548186592,0.785962725634789,57,195,118,77,16
0.8665269042627533,0.7514792899408285,0.3138858648134879,0.7145360589159133,0.7843212353374871,58,195,130,65,13
0.8305380852550663,0.8690476190476191,0.0,0.632,0.8548761106119597,59,195,127,68,12
0.8630328441649197,0.7878411910669976,0.20712079996751973,0.6841459123034977,0.8115907820586337,60,195,120,75,13
0.7990915443745632,0.7363636363636363,0.20972812234494478,0.6848572474458624,0.7561318819561625,61,195,126,69,14
0.8852201257861636,0.6810897435897436,0.5299058084772371,0.7850983732645633,0.7249576947898806,62,195,131,64,12
0.8102725366876311,0.7337526205450734,0.24662162162162174,0.6950835265442007,0.7570848035243956,63,195,133,62,9
0.7374213836477987,0.8319444444444444,0.0,0.632,0.7971599580712787,64,195,123,72,12
0.8064290705800139,0.850765306122449,0.0,0.632,0.8344495714428329,65,195,125,70,14
0.7251921733053809,0.7834821428571428,0.0,0.632,0.7620314340620944,66,195,117,78,14
0.9273235499650594,0.7404371584699454,0.4373416618634638,0.7532254001612619,0.786555972946458,67,195,116,79,18
0.8258211041229908,0.731638418079096,0.28906257100013616,0.7072318013468601,0.7592121134164813,68,195,124,71,12
0.8829489867225716,0.6991758241758242,0.479889408037218,0.7675485357932494,0.7418941648917208,69,195,126,69,13
0.8116701607267645,0.8670143415906127,0.0,0.632,0.8466476830327165,70,195,123,72,13
0.783717679944095,0.8245614035087719,0.0,0.632,0.8095309132369708,71,195,125,70,13
0.8038085255066387,0.7115384615384615,0.30371123988145293,0.7115240042086997,0.7381561601234083,72,195,118,77,12
0.7943745632424878,0.8083228247162673,0.0,0.632,0.8031898644939164,73,195,121,74,13
0.8791055206149545,0.7431318681318682,0.35866967134248223,0.7281025790905337,0.7801027535536593,74,195,129,66,14
0.8485324947589099,0.8135593220338984,0.10034408054033386,0.6562324472881411,0.8255819640321447,75,195,123,72,13
0.8411949685534591,0.8309409888357256,0.03005313871188238,0.639067805573853,0.8346419802368483,76,195,127,68,11
0.8724668064290706,0.780564263322884,0.24674022361154418,0.695116893574476,0.8085837961535038,77,195,126,69,11
0.8443396226415094,0.7555555555555555,0.2578386605783866,0.6982535253711023,0.7823458348019576,78,195,131,64,10
0.827393431167016,0.7976190476190477,0.09094374142399726,0.6538837205780655,0.8079244464747521,79,195,121,74,14
0.828616352201258,0.7730769230769231,0.16900993743099021,0.6739145587246289,0.791187522331114,80,195,122,73,8
0.8273934311670161,0.7953216374269005,0.09796101780598807,0.6556354307925177,0.8063660268619267,81,195,126,69,12
0.8674004192872118,0.7412280701754386,0.343419175613785,0.7234252178283377,0.7761241601471142,82,195,126,69,12
0.833508036338225,0.7383474576271187,0.2853321909598598,0.7061470236862063,0.7663106769091204,83,195,120,75,16
0.8950034940600978,0.6875,0.5253206545776206,0.7834561830969544,0.7324335986244921,84,195,129,66,10
0.8502795248078266,0.75,0.2862842892768079,0.7064235731711125,0.7794397045771806,85,195,127,68,10
0.7603074772886094,0.8061440677966102,0.0,0.632,0.7892762024896659,86,195,120,75,16
0.8806778476589798,0.744535519125683,0.35763133938714575,0.7277822023632994,0.7815958839641493,87,195,122,73,12
0.829140461215933,0.7366362451108214,0.28104784128750465,0.7049052526406064,0.7639337533920381,88,195,123,72,13
0.83298392732355,0.8297604035308953,0.009680718882033227,0.6342595525409125,0.8309393765652158,89,195,121,74,13
0.8099231306778476,0.851089588377724,0.0,0.632,0.8359403319441695,90,195,122,73,14
0.8095737246680643,0.7511160714285714,0.1888327354079331,0.6791977553708983,0.7698694178035504,91,195,117,78,14
0.8598881900768693,0.6979020979020978,0.45010116097494773,0.7574642836813956,0.7371895108013575,92,195,119,76,11
0.8626834381551363,0.7240896358543417,0.3821343566328266,0.7354185611259001,0.7607589834861185,93,195,130,65,14
0.8109713487071977,0.8138957816377171,0.0,0.632,0.812819590319286,94,195,120,75,13
0.8167365478686234,0.8409090909090908,0.0,0.632,0.8320135950701988,95,195,128,67,11
0.8453878406708595,0.7011494252873564,0.4176128930982155,0.74676381687341,0.7376758110593024,96,195,122,73,15
0.8717679944095038,0.7858974358974359,0.2309788895315211,0.6907105571521633,0.8124562930966659,97,195,122,73,13
0.876659678546471,0.690615835777126,0.493930870135311,0.7723957116224,0.7329602122176769,98,195,122,73,11
0.8754367575122293,0.6535714285714286,0.5909526025393871,0.8076373435487527,0.6962500326209108,99,195,129,66,10
0.8581411600279525,0.7864406779661017,0.2002017362546506,0.6822653828367747,0.8092224031844426,100,195,121,74,15
0.7844164919636618,0.9038461538461539,0.0,0.632,0.8598960382733968,101,195,134,61,9
0.8172606568832985,0.8161375661375662,0.0035399622404030918,0.6328243841883386,0.8165499376737428,102,195,120,75,12
0.8053808525506638,0.7384615384615384,0.2191339552895618,0.68743570593126,0.7593781266293702,103,195,119,76,11
0.7323549965059399,0.8700000000000001,0.0,0.632,0.819346638714186,104,195,125,70,10
0.8834730957372467,0.6610644257703082,0.5799850691985221,0.8034931666735132,0.7047692492098669,105,195,115,80,17
0.8453878406708596,0.7788888888888889,0.19253414264036442,0.6801934503045003,0.8001556892166484,106,195,120,75,15
0.853424178895877,0.7428842504743833,0.3127684381041175,0.7142040144659293,0.7744761182584697,107,195,116,79,17
0.8352550663871419,0.703125,0.39411803022407504,0.7392119228830538,0.7375829459424372,108,195,117,78,14
0.8656533892382949,0.7050000000000001,0.43935977066411835,0.7538926827631335,0.7445379746304469,109,195,125,70,10
