strategy,constraint,full_cohort_threshold,full_cohort_tp,full_cohort_fp,full_cohort_tn,full_cohort_fn,bootstrap_threshold_mean,bootstrap_threshold_median,bootstrap_threshold_ci_low,bootstrap_threshold_ci_high,bootstrap_replicates,median_oob_n,median_oob_events,oob_sensitivity_rule_out_mean,oob_sensitivity_rule_out_median,oob_sensitivity_rule_out_ci_low,oob_sensitivity_rule_out_ci_high,oob_sensitivity_rule_out_valid_replicates,oob_specificity_rule_in_mean,oob_specificity_rule_in_median,oob_specificity_rule_in_ci_low,oob_specificity_rule_in_ci_high,oob_specificity_rule_in_valid_replicates,oob_positive_predictive_value_mean,oob_positive_predictive_value_median,oob_positive_predictive_value_ci_low,oob_positive_predictive_value_ci_high,oob_positive_predictive_value_valid_replicates,oob_negative_predictive_value_mean,oob_negative_predictive_value_median,oob_negative_predictive_value_ci_low,oob_negative_predictive_value_ci_high,oob_negative_predictive_value_valid_replicates,oob_balanced_accuracy_mean,oob_balanced_accuracy_median,oob_balanced_accuracy_ci_low,oob_balanced_accuracy_ci_high,oob_balanced_accuracy_valid_replicates,oob_f1_score_mean,oob_f1_score_median,oob_f1_score_ci_low,oob_f1_score_ci_high,oob_f1_score_valid_replicates,oob_mcc_mean,oob_mcc_median,oob_mcc_ci_low,oob_mcc_ci_high,oob_mcc_valid_replicates
Rule-out,full-cohort sensitivity >=90%; maximize MCC,0.10166248347471143,33,76,83,3,0.11884888191015307,0.1147414386589297,0.05577521326594434,0.22347884418244163,2000,71.0,13.0,0.838495665413448,0.8571428571428571,0.5,1.0,2000,0.5270814034989603,0.532258064516129,0.2857142857142857,0.7166666666666667,2000,0.2869901441489675,0.2857142857142857,0.1956389183457052,0.3870967741935484,2000,0.9415250767112904,0.9444444444444444,0.8490423098913665,1.0,2000,0.6827885344562041,0.6859872885734954,0.5747104664589053,0.7719470551378445,2000,0.4231148195356584,0.425531914893617,0.30434782608695654,0.5283018867924528,2000,0.2883192184272029,0.29363515838747134,0.11775874270859071,0.42674870412482563,2000
Rule-in,full-cohort specificity >=90%; maximize MCC,0.36836407433750906,18,8,151,18,0.3965942867686248,0.3872189359265741,0.30551396474572895,0.5428133428589258,2000,71.0,13.0,0.33386094887439705,0.3333333333333333,0.058741830065359484,0.6666666666666666,2000,0.9212072846916363,0.9285714285714286,0.8031967213114755,1.0,2000,0.5185967012306826,0.5,0.16666666666666666,1.0,1982,0.8616858677379859,0.8620689655172413,0.7968683792372881,0.9272727272727272,2000,0.6275341167830166,0.62531328320802,0.499004329004329,0.7758491586538461,2000,0.3783058072770725,0.38461538461538464,0.09071969696969698,0.64,2000,0.3006260454882915,0.30391200539718183,-0.0019981400571529024,0.5842809276781684,2000
